,Preu
0,917.0
1,1181.6
2,999.8
3,1022.8
4,957.9
5,984.3
6,1294.8
7,1105.7
8,1009.3
9,999.9
10,846.2
12,728.7
13,823.9
14,835.7
15,971.8
16,805.4
17,849.4
18,995.0
19,1018.6
20,1649.8
21,1102.2
22,1362.6
23,1630.8
24,1195.0
25,1341.5
26,1054.9
27,947.8
28,809.9
29,874.3
30,986.0
31,957.9
32,834.7
33,737.6
34,801.7
35,784.7
36,671.3
37,723.9
38,706.4
39,736.1
40,888.9
42,740.3
43,767.0
44,718.5
45,662.8
47,644.7
48,655.0
49,641.2
50,652.7
51,687.2
52,591.0
54,517.7
56,616.9
58,702.6
59,800.9
60,751.5
61,795.8
62,847.2
63,841.5
64,861.2
65,1089.2
66,1305.0
67,967.9
68,964.7
69,796.9
70,939.2
71,796.4
72,733.9
146,872.0
147,1062.5
148,900.5
149,1051.4
150,1106.9
151,985.9
152,1328.6
153,1174.6
154,1012.2
155,1004.3
156,879.3
157,1407.9
158,638.8
159,912.1
160,826.2
161,1025.0
162,848.5
163,885.6
164,1067.8
165,993.1
166,1944.5
167,894.9
168,1349.3
169,1767.0
170,1369.1
171,1484.5
172,1108.6
173,969.3
174,759.2
175,1010.3
176,982.6
177,977.8
178,903.9
179,812.4
180,810.0
181,840.1
182,725.8
183,786.5
184,720.3
185,750.7
186,865.3
188,794.2
189,855.5
190,728.5
191,709.8
193,748.8
194,851.3
195,632.9
196,609.0
197,693.3
198,574.9
200,577.3
202,620.0
204,732.6
205,788.2
206,803.5
207,784.3
208,878.4
209,875.1
210,884.0
211,1173.2
212,1442.6
213,1085.6
214,1238.7
215,779.2
216,1032.9
217,843.0
218,757.0
292,928.1
293,1111.3
294,922.9
295,1084.9
296,1118.7
297,1038.7
298,1445.6
299,1252.2
300,1113.9
301,1072.2
302,888.3
303,1380.0
304,785.9
305,971.9
306,910.5
307,1136.7
308,930.1
309,940.3
310,1203.4
311,1107.2
312,1946.1
313,1364.7
314,1541.4
315,1990.2
316,1473.1
317,1550.1
318,1149.9
319,1073.6
320,839.9
321,997.5
322,1043.4
323,1032.5
324,948.7
325,831.9
326,872.6
327,880.3
328,753.2
329,810.5
330,759.0
331,853.5
332,907.3
334,814.1
335,838.6
336,765.7
337,760.5
339,816.0
341,676.1
342,660.1
343,731.3
344,661.4
345,552.7
346,575.3
348,668.0
350,776.8
351,855.6
352,850.7
353,869.1
354,890.0
355,916.3
356,936.4
357,1169.3
358,1499.5
359,1104.2
360,1354.9
361,761.4
362,1059.4
363,1158.9
364,775.8
0,759.2
1,929.6
2,808.9
3,879.4
4,918.0
5,887.1
6,1176.7
7,1040.2
8,964.0
9,898.7
10,781.6
11,--
12,810.6
13,799.5
14,778.4
15,807.6
16,788.1
17,829.1
18,990.3
19,927.3
20,1598.2
21,1531.7
22,1263.9
23,1578.0
24,1264.8
25,1294.9
26,990.1
27,959.0
28,745.4
29,859.1
30,910.6
31,865.3
32,817.3
33,741.1
34,791.7
35,795.0
36,668.8
37,716.1
38,700.5
39,741.4
40,827.0
41,--
42,747.4
43,736.5
44,707.2
45,687.2
46,--
47,691.6
48,762.5
49,643.6
50,631.6
51,671.8
52,605.0
53,--
54,520.2
55,--
56,625.1
57,--
58,658.9
59,762.5
60,759.3
61,756.9
62,824.2
63,814.5
64,853.6
65,927.5
66,1298.9
67,928.5
68,978.4
69,704.2
70,976.7
71,794.6
72,740.8
146,774.2
147,934.1
148,814.8
149,862.1
150,907.1
151,887.4
152,1196.3
153,1070.1
154,953.3
155,928.8
156,773.7
157,--
158,772.4
159,810.8
160,772.8
161,815.4
162,778.1
163,815.4
164,998.8
165,904.8
166,1680.3
167,1074.7
168,1298.0
169,1429.0
170,1226.1
171,1339.1
172,1024.4
173,924.5
174,796.8
175,859.2
176,881.0
177,880.1
178,820.2
179,773.5
180,818.2
181,817.7
182,667.6
183,713.8
184,653.5
185,729.9
186,884.2
187,--
188,734.9
189,754.4
190,698.5
191,671.8
192,--
193,698.3
194,673.8
195,608.7
